BrandID;Brand
1;Alexander McQueen
2;Alexander Wang
3;American Vintage
4;Balenciaga
5;Balmain
6;Barbour
7;Bottega Veneta
8;Burberry
9;CAMBIO
10;Chloe
11;Chanel
12;Chloe Mare
13;Chloe Stora
14;Christian Dior
15;Christian Koban
16;Christian Lacroix
17;Christian Louboutin
18;Christies
19;Christophe Lemaire
20;Christophe Sauvat
21;Christopher Kane
22;Church's
23;Cigno Nero
24;Cimarron
25;Cinque
26;Cinzia Araia
27;Cinzia Rocca
28;Circolo 1901
29;Citizens of Humanity
30;Civico 38
31;Clare Vivier
32;Clarina
33;Clashd Jewelry
34;Class R. Cavalli
35;Claudia Schiffer for TSE
36;Claudio Cutuli
37;Cloli
38;Closed
39;CLU
40;Cluse
41;Co Collections
42;Coach
43;Coast Weber Ahaus
44;COCCINELLE
45;Codello
46;Colana
47;Coliac
48;Collection Privee
49;Collette Dinnigan
50;Colmar Originals
51;Colors of California
52;Commando
53;Comme des Garcons
54;Common Projects
55;Converse
56;Coohem
57;Cool Change
58;copo de nieve
59;Cornelia Webb
60;Cornici
61;Corte di Kel
62;Corto Moltedo
63;Cosabella
64;Cosmoparis
65;Cosy, Jack and Silky
66;Cotton Club
67;Country Line
68;Courreges
69;CoutureOne
70;Cowboysbags
71;CREENSTONE
72;Crick It
73;Crime London
74;Current Elliott
75;Cushnie et Ochs
76;Custommade
77;Cute Couture
78;Cute Stuff
79;Cutler and Gross
80;CVC Stones
81;Cycle
82;Diane von Furstenberg
83;Diega
84;Diemme
85;Dieterle
86;Dion Lee
87;Dita Von Teese
88;DKNY
89;Dkode
90;dMondaine
91;Dodo Bar Or
92;Dolce and Gabbana
93;Dolomite
94;Domani
95;Dondup
96;Donna Carolina
97;Donna Karan
98;Donna Lona
99;Don't believe the hype
100;Doriani
101;Dorothee Schumacher
102;Dorothy Blue
103;Dr. Martens
104;Dragon
105;Drap
106;Dreimaster
107;Dsquared2
108;Duvetica
109;Eddie Borgo
110;Emilio Pucci
111;Equipment
112;Erdem
113;Etro
114;Faliero Sarti
115;Fausto Colato
116;Fendi
117;Fiorentini+Baker
118;FTC Cashmere
119;Gerard Darel
120;Giambattista Valli
121;Gianvito Rossi
122;Givenchy
123;Gucci
124;Helmut Lang
125;Herno
126;Herve Leger
127;HIGH
128;HUGO BOSS
129;iheart
130;Iris von Arnim
131;Iro
132;Isabel Marant
133;Issa London
134;J Brand
135;Jil Sander
136;Jimmy Choo
137;Juicy Couture
138;Just Cavalli
139;Karl Lagerfeld
140;Kenzo
141;Kilian Kerner
142;Koral Los Angeles
143;L'Autre Chose
144;Lala Berlin
145;Lancel
146;Lanvin
147;Love Moschino
148;Marc by Marc Jacobs
149;Marc Cain
150;Marni
151;Max Mara
152;Miu Miu
153;Narciso Rodriguez
154;Nancy Gonzalez
155;Napapijri
156;Nicholas Kirkwood
157;Nike
158;Nina Ricci
159;Oakwood
160;Odeeh
161;Opening Ceremony
162;Oscar de la Renta
163;oui
164;Parajumpers
165;Patrizia Pepe
166;Plein Sud
167;Prada
168;Pretty Ballerinas
169;Rachel Zoe
170;Ralph Lauren
171;Ray Ban
172;Roberto Cavalli
173;Rupert Sanderson
174;Saint Laurent Paris
175;Salvatore Ferragamo
176;Sergio Rossi
177;Steffen Schraut
178;Stella McCartney
179;Talbot Runhof
180;Tibi
181;Tod's
182;Tory Burch
183;True Religion
184;UGG Australia
185;Unuetzer
186;Uzwei
187;Valentino
188;Vanessa Bruno
189;Versace
190;Victoria Beckham
191;Vivienne Westwood
192;Wenger
193;Wildfox
194;windsor
195;Witty Knitters
196;Woolrich
197;Y-3
198;Yippie Hippie
199;Yves Salomon
200;Yvonne Leon
201;Zac Posen
202;Zadig et Voltaire
203;Zanellato
204;Zimmermann
205;Zoe Karssen
206;Zuhair Murad
207;0039 ITALY
208;2nd Day
209;3.1 Phillip Lim
210;7 For All Mankind
211;81 hours
