1;Absolute Zero;0048BA
2;Acajou;4C2F27
3;Acid green;B0BF1A
4;Aero;7CB9E8
5;Aero blue;C9FFE5
6;African violet;B284BE
7;Air Force blue (RAF);5D8AA8
8;Air Force blue (USAF);00308F
9;Air superiority blue;72A0C1
10;Alabama crimson;AF002A
11;Alabaster;F2F0E6
12;Alice blue;F0F8FF
13;Alien Armpit;84DE02
14;Alizarin crimson;E32636
15;Alloy orange;C46210
16;Almond;EFDECD
17;Amaranth;E52B50
18;Amaranth deep purple;9F2B68
19;Amaranth pink;F19CBB
20;Amaranth purple;AB274F
21;Amaranth red;D3212D
22;Amazon;3B7A57
23;Amazonite;00C4B0
24;Amber;FFBF00
25;Amber (SAE/ECE);FF7E00
26;American rose;FF033E
27;Amethyst;9966CC
28;Android green;A4C639
29;Anti-flash white;F2F3F4
30;Antique brass;CD9575
31;Antique bronze;665D1E
32;Antique fuchsia;915C83
33;Antique ruby;841B2D
34;Antique white;FAEBD7
35;Ao (English);008000
36;Apple green;8DB600
37;Apricot;FBCEB1
38;Aqua;00FFFF
39;Aquamarine;7FFFD4
40;Arctic lime;D0FF14
41;Army green;4B5320
42;Arsenic;3B444B
43;Artichoke;8F9779
44;Arylide yellow;E9D66B
45;Ash grey;B2BEB5
46;Asparagus;87A96B
47;Atomic tangerine;FF9966
48;Auburn;A52A2A
49;Aureolin;FDEE00
50;AuroMetalSaurus;6E7F80
51;Avocado;568203
52;Aztec Gold;C39953
53;Azure;007FFF
54;Azure (web color);F0FFFF
55;Azure mist;F0FFFF
56;Azureish white;DBE9F4
57;Baby blue;89CFF0
58;Baby blue eyes;A1CAF1
59;Baby pink;F4C2C2
60;Baby powder;FEFEFA
61;Baker-Miller pink;FF91AF
62;Baker'S Chocolate;XXXXXX
63;Ball blue;21ABCD
64;Banana Mania;FAE7B5
65;Banana yellow;FFE135
66;Bangladesh green;006A4E
67;Barbie pink;E0218A
68;Barn red;7C0A02
69;Battery Charged Blue;1DACD6
70;Battleship grey;848482
71;Bazaar;98777B
72;B'dazzled blue;2E5894
73;Beau blue;BCD4E6
74;Beaver;9F8170
75;Begonia;FA6E79
76;Beige;F5F5DC
77;Big dip o’ruby;9C2542
78;Big Foot Feet;E88E5A
79;Bisque;FFE4C4
80;Bistre;3D2B1F
81;Bistre brown;967117
82;Bitter lemon;CAE00D
83;Bitter lime;BFFF00
84;Bittersweet;FE6F5E
85;Bittersweet shimmer;BF4F51
86;Black;000000
87;Black bean;3D0C02
88;Black Coral;54626F
89;Black leather jacket;253529
90;Black olive;3B3C36
91;Black Shadows;BFAFB2
92;Blanched almond;FFEBCD
93;Blast-off bronze;A57164
94;Bleu de France;318CE7
95;Blizzard Blue;ACE5EE
96;Blond;FAF0BE
97;Blue;0000FF
98;Blue (Crayola);1F75FE
99;Blue (Munsell);0093AF
100;Blue (NCS);0087BD
101;Blue (Pantone);0018A8
102;Blue (pigment);333399
103;Blue (RYB);0247FE
104;Blue Bell;A2A2D0
105;Blue Bolt;00B9FB
106;Blue Jeans;5DADEC
107;Blue Lagoon;ACE5EE
108;Blue sapphire;126180
109;Blue Violet;XXXXXX
110;Blue yonder;5072A7
111;Blueberry;4F86F7
112;Bluebonnet;1C1CF0
113;Blue-gray;6699CC
114;Blue-green;0D98BA
115;Blue-magenta violet;553592
116;Blue-violet;8A2BE2
117;Blush;DE5D83
118;Bole;79443B
119;Bondi blue;0095B6
120;Bone;E3DAC9
121;Booger Buster;DDE26A
122;Boston University Red;CC0000
123;Bottle green;006A4E
124;Boysenberry;873260
125;Brandeis blue;0070FF
126;Brass;B5A642
127;Brick red;CB4154
128;Bright cerulean;1DACD6
129;Bright Gold;XXXXXX
130;Bright green;66FF00
131;Bright lavender;BF94E4
132;Bright lilac;D891EF
133;Bright maroon;C32148
134;Bright navy blue;1974D2
135;Bright pink;FF007F
136;Bright turquoise;08E8DE
137;Bright ube;D19FE8
138;Bright Yellow (Crayola);FFAA1D
139;Brilliant azure;3399FF
140;Brilliant lavender;F4BBFF
141;Brilliant rose;FF55A3
142;Brink pink;FB607F
143;British racing green;004225
144;Bronze;CD7F32
145;Bronze Yellow;737000
146;Brown;XXXXXX
147;Brown (traditional);964B00
148;Brown (web);A52A2A
149;Brown Sugar;AF6E4D
150;Brown Yellow;cc9966
151;Brown-nose;6B4423
152;Brunswick green;1B4D3E
153;Bubble gum;FFC1CC
154;Bubbles;E7FEFF
155;Bud green;7BB661
156;Buff;F0DC82
157;Bulgarian rose;480607
158;Burgundy;800020
159;Burly Wood;XXXXXX
160;Burlywood;DEB887
161;Burnished Brown;A17A74
162;Burnt orange;CC5500
163;Burnt sienna;E97451
164;Burnt umber;8A3324
165;Byzantine;BD33A4
166;Byzantium;702963
167;Cadet;536872
168;Cadet blue;5F9EA0
169;Cadet grey;91A3B0
170;Cadmium green;006B3C
171;Cadmium orange;ED872D
172;Cadmium red;E30022
173;Cadmium yellow;FFF600
174;Café au lait;A67B5B
175;Café noir;4B3621
176;Cal Poly Pomona green;1E4D2B
177;Cambridge Blue;A3C1AD
178;Camel;C19A6B
179;Cameo pink;EFBBCC
180;Camouflage green;78866B
181;Canary;FFFF99
182;Canary yellow;FFEF00
183;Candy apple red;FF0800
184;Candy pink;E4717A
185;Capri;00BFFF
186;Caput mortuum;592720
187;Cardinal;C41E3A
188;Caribbean green;00CC99
189;Carmine;960018
190;Carmine (M&P);D70040
191;Carmine pink;EB4C42
192;Carmine red;FF0038
193;Carnation pink;FFA6C9
194;Carnelian;B31B1B
195;Carolina blue;56A0D3
196;Carrot orange;ED9121
197;Castleton green;00563F
198;Catalina blue;062A78
199;Catawba;703642
200;Cedar Chest;C95A49
201;Ceil;92A1CF
202;Celadon;ACE1AF
203;Celadon blue;007BA7
204;Celadon green;2F847C
205;Celeste;B2FFFF
206;Celestial blue;4997D0
207;Cerise;DE3163
208;Cerise pink;EC3B83
209;Cerulean;007BA7
210;Cerulean blue;2A52BE
211;Cerulean frost;6D9BC3
212;CG Blue;007AA5
